City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,forbes,-33.3833,148.0167,18.84,74,38,2.91,AU,1680539749
211,te anau,-45.4167,167.7167,9.0,93,73,0.38,NZ,1680539309
212,pauini,-7.7136,-66.9764,23.71,96,97,1.04,BR,1680539310
213,shimoda,34.6667,138.95,7.84,65,4,5.2,JP,1680539750
214,xining,36.6167,101.7667,2.08,79,100,2.5,CN,1680539750
215,moberly,39.4184,-92.4382,18.85,57,0,4.12,US,1680539310
216,jaen,38.0,-3.5,21.76,13,77,1.51,ES,1680539310
217,faanui,-16.4833,-151.75,27.34,72,61,1.53,PF,1680539750
218,maniitsoq,65.4167,-52.9,-1.14,61,15,3.21,GL,1680539310
219,tuktoyaktuk,69.4541,-133.0374,-25.0,77,20,2.06,CA,1680539750
220,prince rupert,54.3161,-130.3201,3.83,93,100,5.14,CA,1680539141
221,weligama,5.9667,80.4167,26.25,80,100,0.47,LK,1680539310
222,roata de jos,44.4108,25.5433,13.71,63,100,7.6,RO,1680539310
223,sokoni,-6.4333,39.55,28.92,78,100,5.42,TZ,1680539311
224,taoudenni,22.6783,-3.9836,36.79,4,0,1.4,ML,1680539311
225,akureyri,65.6835,-18.0878,6.96,76,40,0.51,IS,1680539311
226,veraval,20.9,70.3667,25.05,79,2,5.28,IN,1680539751
227,mocuba,-16.8392,36.9856,22.98,83,58,2.46,MZ,1680539311
228,saint george,37.1041,-113.5841,16.25,40,100,6.69,US,1680539464
229,yar-sale,66.8333,70.8333,-26.24,100,12,3.3,RU,1680539751
230,tawang,27.5833,91.8667,4.77,92,95,0.98,IN,1680539311
231,caravelas,-17.7125,-39.2481,26.67,76,39,5.03,BR,1680539751
232,berdigestyakh,62.0989,126.6992,-9.73,97,100,1.98,RU,1680539592
233,kruisfontein,-34.0033,24.7314,16.41,85,2,7.15,ZA,1680539751
234,saskylakh,71.9167,114.0833,-19.54,97,100,5.5,RU,1680539751
235,nelson bay,-32.7167,152.15,18.89,95,85,4.73,AU,1680539311
236,vrede,-27.4257,29.1659,18.15,45,94,2.87,ZA,1680539312
237,tarauaca,-8.1614,-70.7656,27.62,79,76,1.66,BR,1680539312
238,balikpapan,-1.2675,116.8289,24.55,94,20,2.57,ID,1680539312
239,tazovskiy,67.4667,78.7,-26.94,99,23,3.71,RU,1680539751
240,georgetown,5.4112,100.3354,26.64,89,20,0.0,MY,1680539566
241,namatanai,-3.6667,152.4333,26.24,82,92,2.51,PG,1680539752
242,yeniseysk,58.4497,92.1703,0.08,94,100,4.68,RU,1680539752
243,whitianga,-36.8333,175.7,12.79,90,15,2.45,NZ,1680539312
244,mezhdurechensk,53.6942,88.0603,-4.68,93,100,1.09,RU,1680539312
245,biak,-0.9131,122.8766,24.55,84,100,0.32,ID,1680539313
246,smoky lake,54.1169,-112.4686,-1.6,86,99,2.06,CA,1680539313
247,karlskrona,56.1616,15.5866,3.25,53,30,2.61,SE,1680539313
248,atuona,-9.8,-139.0333,26.35,83,99,6.14,PF,1680539748
249,requena,39.4883,-1.1004,13.62,29,58,3.26,ES,1680539752
250,dunedin,-45.8742,170.5036,13.22,73,89,1.9,NZ,1680539608
251,benjamin hill,30.1667,-111.1,20.23,14,7,6.14,MX,1680539313
252,madoc,44.5084,-77.4745,9.42,67,100,6.19,CA,1680539313
253,san quintin,30.4833,-115.95,13.49,71,85,9.28,MX,1680539313
254,bognor regis,50.7821,-0.6798,13.75,66,13,4.67,GB,1680539174
255,ostrovnoy,68.0531,39.5131,-8.01,87,24,6.04,RU,1680539752
256,lata,40.1629,-8.3327,19.4,39,100,4.32,PT,1680539314
257,wakkanai,45.4094,141.6739,4.27,72,39,4.79,JP,1680539314
258,fortuna,40.5982,-124.1573,6.06,93,87,2.64,US,1680539752
259,tarko-sale,64.9225,77.785,-18.53,94,74,5.92,RU,1680539314
260,laguna,38.421,-121.4238,10.16,48,15,2.24,US,1680539753
261,elizabeth city,36.2946,-76.2511,21.01,60,0,5.14,US,1680539151
262,gazojak,41.1875,61.4036,15.53,37,79,0.7,TM,1680539314
263,qeshm,26.9581,56.2719,22.93,58,0,8.61,IR,1680539314
264,navoloki,57.4657,41.9634,9.06,74,100,2.42,RU,1680539314
265,genhe,50.7833,121.5167,-6.03,51,8,6.51,CN,1680539314
266,naze,28.3667,129.4833,18.51,61,94,9.34,JP,1680539753
267,hohhot,40.8106,111.6522,3.16,87,40,5.0,CN,1680539314
268,ibb,13.9667,44.1833,19.09,71,100,1.45,YE,1680539315
269,yumen,40.2833,97.2,4.81,24,100,7.71,CN,1680539753
270,iracoubo,5.4802,-53.2011,28.04,60,61,4.57,GF,1680539315
271,cookeville,36.1628,-85.5016,18.14,65,75,2.57,US,1680539315
272,at-bashi,41.1702,75.8106,-0.01,45,75,2.63,KG,1680539753
273,kyaikkami,16.08,97.5675,28.3,75,4,7.61,MM,1680539753
274,emerald,-23.5333,148.1667,21.66,80,71,3.3,AU,1680539315
275,ahipara,-35.1667,173.1667,16.04,66,19,4.9,NZ,1680539753
276,smithers,54.7804,-127.1743,-3.82,80,75,2.06,CA,1680539315
277,deputatskiy,69.3,139.9,-19.35,99,85,1.84,RU,1680539754
278,verkhnyaya inta,65.9811,60.3094,-16.4,88,4,1.85,RU,1680539316
279,luanda,-8.8368,13.2343,30.0,66,40,6.17,AO,1680539023
280,cayenne,4.9333,-52.3333,29.02,65,75,5.66,GF,1680539754
281,traun,48.2266,14.2346,5.13,56,75,5.14,AT,1680539316
282,urumqi,43.801,87.6005,-2.47,43,0,2.0,CN,1680539316
283,axim,4.8699,-2.2405,29.1,70,66,4.76,GH,1680539316
284,malinovoye ozero,51.6753,79.7825,0.66,51,0,2.6,RU,1680539316
285,cockburn town,21.4612,-71.1419,27.98,61,40,5.14,TC,1680539316
286,hilo,19.7297,-155.09,21.82,97,75,1.54,US,1680539754
287,rocha,-34.4833,-54.3333,16.49,87,100,1.99,UY,1680539754
288,paranaiba,-19.6772,-51.1908,29.16,57,0,1.99,BR,1680539316
289,alice springs,-23.7,133.8833,16.75,88,40,0.0,AU,1680539316
290,coquimbo,-29.9533,-71.3436,17.85,82,75,5.66,CL,1680539754
291,melbu,68.5044,14.8297,3.9,81,75,7.72,NO,1680539317
292,kahului,20.8947,-156.47,25.47,74,20,4.12,US,1680539470
293,mount gambier,-37.8333,140.7667,10.32,95,52,1.98,AU,1680539500
294,yulara,-25.2406,130.9889,23.07,35,57,5.58,AU,1680539755
295,bloomfield,40.8068,-74.1854,15.44,43,0,6.17,US,1680539208
296,clyde river,70.4692,-68.5914,-23.87,77,0,3.6,CA,1680539755
297,montepulciano,43.1017,11.7868,11.73,49,5,7.86,IT,1680539235
298,tala,30.6803,30.9429,25.23,12,0,3.02,EG,1680539317
299,hay river,60.8156,-115.7999,-14.02,78,75,3.6,CA,1680539317
300,armidale,-30.5167,151.65,9.61,98,34,2.44,AU,1680539317
301,berlevag,70.8578,29.0864,-1.0,69,40,15.95,NO,1680539755
302,bulancak,40.9372,38.2291,10.9,93,40,0.51,TR,1680539317
303,gorontalo,0.5412,123.0595,23.83,95,100,1.64,ID,1680539317
304,los llanos de aridane,28.6585,-17.9182,21.74,77,20,8.23,ES,1680539755
305,moussoro,13.6408,16.4901,38.42,9,14,4.44,TD,1680539317
306,erzin,36.9559,36.2,16.02,66,74,1.15,TR,1680539317
307,black river,18.0264,-77.8487,29.05,53,1,2.93,JM,1680539317
